recording_id,start,end,transcript
9ea7b591-2331-4f35-a4ce-96d404f1e019,39.28,43.20,yeah do you know if i can change the passport that's associated to my flight 
9ea7b591-2331-4f35-a4ce-96d404f1e019,49.28,51.36,can i also pay with national id card 
9ea7b591-2331-4f35-a4ce-96d404f1e019,52.32,54.32,can i pay with a national id card too 
9ea7b591-2331-4f35-a4ce-96d404f1e019,60.56,61.76,i lost my passport 
9ea7b591-2331-4f35-a4ce-96d404f1e019,63.12,64.00,i lost my pass 
6548a775-f309-43c8-b791-2199d4a528a0,4.00,5.44,no i don't like geez
6548a775-f309-43c8-b791-2199d4a528a0,9.92,10.80,no cheese 
72964887-a226-4d6f-94a2-63603a2949af,15.12,15.60,a
72964887-a226-4d6f-94a2-63603a2949af,29.76,30.48,repeat the question
72964887-a226-4d6f-94a2-63603a2949af,37.28,38.00,what does that mean
72964887-a226-4d6f-94a2-63603a2949af,50.16,50.88,mmm 
72964887-a226-4d6f-94a2-63603a2949af,66.48,67.44,book an appointment 
72964887-a226-4d6f-94a2-63603a2949af,79.36,79.44,now 
0ed2742a-2881-4528-a792-3e2fcabd454d,40.48,43.04,the hotel is dirty and i want to book a new one 
0ed2742a-2881-4528-a792-3e2fcabd454d,60.64,61.04,uh yes 
b3975e5b-911e-4325-8acc-beded8e14339,14.08,18.40,i need to bring the wet food for my dog and i was wondering what the instructions are 
b3975e5b-911e-4325-8acc-beded8e14339,29.18,29.37,yes
b3975e5b-911e-4325-8acc-beded8e14339,39.04,40.32,what about dried food
b3975e5b-911e-4325-8acc-beded8e14339,71.12,71.20,yes 
b3975e5b-911e-4325-8acc-beded8e14339,77.84,78.24,nope 
2d88046f-c6d6-4345-bc3b-b41fea6af160,16.72,22.40,yeah hi i was trying to make a booking on the app and it said i needed to call and for some reason 
2d88046f-c6d6-4345-bc3b-b41fea6af160,40.80,40.88,yes 
2d88046f-c6d6-4345-bc3b-b41fea6af160,46.48,46.56,yes 
2d88046f-c6d6-4345-bc3b-b41fea6af160,54.16,55.28,can i talk to a represent 
2d88046f-c6d6-4345-bc3b-b41fea6af160,65.60,65.68,uh 
2d88046f-c6d6-4345-bc3b-b41fea6af160,67.36,67.92,the new one 
2d88046f-c6d6-4345-bc3b-b41fea6af160,75.20,75.28,one 
d91f75b6-2b76-460f-9b48-e7207d10415a,13.36,13.44,no 
d91f75b6-2b76-460f-9b48-e7207d10415a,20.08,21.12,book an appointment 
d91f75b6-2b76-460f-9b48-e7207d10415a,41.92,42.00,no 
645fb8ac-fe77-41c6-bd5f-9655ede3dba2,3.84,4.16,thanks for 
645fb8ac-fe77-41c6-bd5f-9655ede3dba2,13.12,17.52,it's not about the hotel reservation i am looking to get a refund for my flight 
645fb8ac-fe77-41c6-bd5f-9655ede3dba2,26.00,26.08,this 
645fb8ac-fe77-41c6-bd5f-9655ede3dba2,38.16,39.92,how do i do it on the website 
645fb8ac-fe77-41c6-bd5f-9655ede3dba2,61.68,62.56,okay thank you
645fb8ac-fe77-41c6-bd5f-9655ede3dba2,66.80,69.92,okay okay thank you
645fb8ac-fe77-41c6-bd5f-9655ede3dba2,72.96,74.64,okay thank you thank you 
dafe8767-7feb-4fdc-b1a1-877ab536ab10,16.08,17.52,yeah no i'm not
dafe8767-7feb-4fdc-b1a1-877ab536ab10,27.76,28.16,could i 
dafe8767-7feb-4fdc-b1a1-877ab536ab10,29.20,32.40,get a loaner device while i'm getting mine fixed 
dafe8767-7feb-4fdc-b1a1-877ab536ab10,45.12,45.20,no 
dafe8767-7feb-4fdc-b1a1-877ab536ab10,70.24,70.32,no 
dafe8767-7feb-4fdc-b1a1-877ab536ab10,78.64,78.72,no 
dafe8767-7feb-4fdc-b1a1-877ab536ab10,90.16,90.24,no 
